Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.159.129-192.168.159.133-22-45124-6,192.168.159.133,45124,192.168.159.129,22,6,31-03-2024 09:55,11156235,18,32,2217,2565,1168,0,123.1666667,262.815133,1280,0,80.15625,227.5768724,428.6392318,4.481798743,227678.2653,634461.0098,2723274,10,8390992,493587.7647,828753.4693,2355146,660,1.12E+07,359878.5484,771310.1618,2723274,89,0,0,0,0,576,1040,1.613447547,2.868351196,0,1280,93.76470588,237.0665382,56200.54353,0,1,0,0,0,0,0,0,1,95.64,123.1666667,80.15625,0,0,0,0,0,0,18,2217,32,2565,-1,249,16,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-45214-6,192.168.159.133,45214,192.168.159.129,22,6,31-03-2024 09:55,9728420,18,27,2057,2405,1168,0,114.2777778,265.5626226,1280,0,89.07407407,246.7943594,458.6561847,4.62562266,221100.4545,638182.8615,2723668,12,9727866,572227.4118,972016.9057,2807119,299,9626931,370266.5769,802360.2919,2723668,57,0,0,0,0,576,880,1.850249064,2.775373596,0,1280,97,249.3980308,62199.37778,0,1,0,0,0,0,0,0,1,99.15555556,114.2777778,89.07407407,0,0,0,0,0,0,18,2057,27,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-45168-6,192.168.159.133,45168,192.168.159.129,22,6,31-03-2024 09:55,10459555,18,27,2073,2405,1168,0,115.1666667,265.5246194,1280,0,89.07407407,246.7943594,428.1252883,4.302286283,237717.1591,667536.4192,2724723,39,1.05E+07,615242.2353,1009344.005,2806421,432,1.04E+07,398393.9231,837040.3732,2724723,73,0,0,0,0,576,880,1.720914513,2.58137177,0,1280,97.34782609,249.4077623,62204.23188,0,1,0,0,0,0,0,0,1,99.51111111,115.1666667,89.07407407,0,0,0,0,0,0,18,2073,27,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-57086-6,192.168.159.133,57086,192.168.159.129,22,6,31-03-2024 09:56,1767,1,3,0,0,0,0,0,0,0,0,0,0,0,2263.723826,589,493.2818667,1020,51,0,0,0,0,0,1767,883.5,1177.332791,1716,51,0,0,0,0,32,112,565.9309564,1697.792869,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,-1,227,0,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-45220-6,192.168.159.133,45220,192.168.159.129,22,6,31-03-2024 09:55,10154718,18,27,2057,2405,1168,0,114.2777778,265.5626226,1280,0,89.07407407,246.7943594,439.4016653,4.431437682,230789.0455,651067.3785,2724183,30,1.02E+07,597303.5882,983517.9424,2766342,249,1.01E+07,386657.1923,816795.1687,2724183,50,0,0,0,0,576,880,1.772575073,2.658862609,0,1280,97,249.3980308,62199.37778,0,1,0,0,0,0,0,0,1,99.15555556,114.2777778,89.07407407,0,0,0,0,0,0,18,2057,27,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-45232-6,192.168.159.133,45232,192.168.159.129,22,6,31-03-2024 09:55,10154442,18,27,2057,2405,1168,0,114.2777778,265.5626226,1280,0,89.07407407,246.7943594,439.4136083,4.43155813,230782.7727,650847.2697,2722005,14,1.02E+07,597294.7647,983229.266,2765122,336,1.01E+07,386639.7692,816498.9735,2722005,47,0,0,0,0,576,880,1.772623252,2.658934878,0,1280,97,249.3980308,62199.37778,0,1,0,0,0,0,0,0,1,99.15555556,114.2777778,89.07407407,0,0,0,0,0,0,18,2057,27,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-57016-6,192.168.159.133,57016,192.168.159.129,22,6,31-03-2024 09:55,8038799,18,27,2057,2405,1168,0,114.2777778,265.5626226,1280,0,89.07407407,246.7943594,555.0580379,5.597851122,182699.9773,503126.796,2062667,19,8038310,472841.7647,763213.6878,2105286,490,7936834,305262.8462,630103.767,2062667,144,0,0,0,0,576,880,2.239140449,3.358710673,0,1280,97,249.3980308,62199.37778,0,1,0,0,0,0,0,0,1,99.15555556,114.2777778,89.07407407,0,0,0,0,0,0,18,2057,27,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-57000-6,192.168.159.133,57000,192.168.159.129,22,6,31-03-2024 09:55,8630241,18,27,2073,2405,1168,0,115.1666667,265.5246194,1280,0,89.07407407,246.7943594,518.8731114,5.21422287,196141.8409,531630.8425,1927515,19,8629859,507638.7647,801693.1511,1970340,712,8528382,328014.6923,664638.7342,1927515,43,0,0,0,0,576,880,2.085689148,3.128533722,0,1280,97.34782609,249.4077623,62204.23188,0,1,0,0,0,0,0,0,1,99.51111111,115.1666667,89.07407407,0,0,0,0,0,0,18,2073,27,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-57018-6,192.168.159.133,57018,192.168.159.129,22,6,31-03-2024 09:55,8322802,18,27,2057,2405,1168,0,114.2777778,265.5626226,1280,0,89.07407407,246.7943594,536.1175239,5.406832939,189154.5909,519243.2851,1928895,25,8322398,489552.8235,786366.6516,1971676,424,8220282,316164.6923,650037.5874,1928895,61,0,0,0,0,576,880,2.162733176,3.244099764,0,1280,97,249.3980308,62199.37778,0,1,0,0,0,0,0,0,1,99.15555556,114.2777778,89.07407407,0,0,0,0,0,0,18,2057,27,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-48030-6,192.168.159.133,48030,192.168.159.129,22,6,31-03-2024 09:56,744,1,3,0,0,0,0,0,0,0,0,0,0,0,5376.344086,248,203.4502396,436,32,0,0,0,0,0,744,372,480.8326112,712,32,0,0,0,0,32,112,1344.086022,4032.258065,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,3,0,-1,227,0,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
192.168.159.129-192.168.159.133-22-57062-6,192.168.159.133,57062,192.168.159.129,22,6,31-03-2024 09:56,9196686,18,27,2057,2405,1168,0,114.2777778,265.5626226,1280,0,89.07407407,246.7943594,485.1747684,4.893066916,209015.5909,569890.7126,2082585,16,9196194,540952.5882,859840.8145,2164597,689,9094686,349795.6154,712783.6406,2082585,135,0,0,0,0,576,880,1.957226766,2.935840149,0,1280,97,249.3980308,62199.37778,0,1,0,0,0,0,0,0,1,99.15555556,114.2777778,89.07407407,0,0,0,0,0,0,18,2057,27,2405,-1,249,14,0,0,0,0,0,0,0,0,0,SSH-Bruteforce
